,,,,,,,,,"Electric Savings, kWh/SF",,"Gas Savings, therms/SF",,Regression_Done,,Base_EUI,CSW_EUI,Percent,Regression_Done,,Baseline Peak Cooling,Clg Load Reduced,Htg Load Reduced,Baseline Peak Cooling,Base Clg Load,CSW Ld Red,CSW Ld Red,CWS Clg Load,Regression_done,,Infil Savings Reduction Factors,,Cool Adjust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base,CSW_Type,Building_Size,Building_Type,HVAC_System_Type,Fuel_Type,PTHP,Hours,Look-up_Conc,Electric_savings_Heat_kWhperSF,electric_savings_Cooling_and_Aux_kWhperSF,Gas_savings_Heat_thermsperSF,,,,Base_EUI_kBtuperSFperyr,CSW_EUI_kBtuperSFperyr,Percent,Regression_Done,,baseline_peak_cooling_BtuhperSF,Clg_Load_reduced_BtuhperSF,htg_load_reduced_BtuhperSF,baseline_peak_cooling_Btuh,base_cooling_load_Tons,CSW_ld_red_Btuh,csw_ld_red_Tons,CWS_Clg_load_Tons,,,infiltration_savings_reduction_factors_Heat,infiltration_reduction_factors_Cool,Cool_adjust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Single,Large,Office,VAV,Electric,,2080,"=CONCATENATE(A23,B23,C23,D23,E23,F23,H23)",='Regresson List_Office'!H13+'Regresson List_Office'!I13*Office!$C$23+'Regresson List_Office'!J13*Office!$C$23^2,='Regresson List_Office'!K13+'Regresson List_Office'!L13*Office!$C$24+'Regresson List_Office'!M13*Office!$C$24^2,0,,Y,,='Regresson List_Office'!$H66+'Regresson List_Office'!$I66*Office!$C$23+'Regresson List_Office'!$J66*Office!$C$23^2,=P23-Office!$F$35,=1-(Q23/P23),Y,,='Regresson List_Office'!H47+'Regresson List_Office'!I47*Office!$C$24+'Regresson List_Office'!J47*Office!$C$24^2,='Regresson List_Office'!K47+'Regresson List_Office'!L62*Office!$C$49+'Regresson List_Office'!M47*Office!$C$24^2,,=U23*Office!$F$18,=X23/12000,=V23*Office!$F$27,=Z23/12000,=Y23-AA23,Y,,,,=AG24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Single,Large,Office,VAV,Electric,,2912,"=CONCATENATE(A24,B24,C24,D24,E24,F24,H24)",='Regresson List_Office'!H14+'Regresson List_Office'!I14*Office!$C$23+'Regresson List_Office'!J14*Office!$C$23^2,='Regresson List_Office'!K14+'Regresson List_Office'!L14*Office!$C$24+'Regresson List_Office'!M14*Office!$C$24^2,0,,Y,,='Regresson List_Office'!$H67+'Regresson List_Office'!$I67*Office!$C$23+'Regresson List_Office'!$J67*Office!$C$23^2,=P24-Office!$F$35,=1-(Q24/P24),Y,,=U23,=V23,,=U24*Office!$F$18,=X24/12000,=V24*Office!$F$27,=Z24/12000,=Y24-AA24,Y,,,,=AG25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Single,Large,Office,VAV,Electric,,8760,"=CONCATENATE(A25,B25,C25,D25,E25,F25,H25)",='Regresson List_Office'!H15+'Regresson List_Office'!I15*Office!$C$23+'Regresson List_Office'!J15*Office!$C$23^2,='Regresson List_Office'!K15+'Regresson List_Office'!L15*Office!$C$24+'Regresson List_Office'!M15*Office!$C$24^2,0,,Y,,='Regresson List_Office'!$H68+'Regresson List_Office'!$I68*Office!$C$23+'Regresson List_Office'!$J68*Office!$C$23^2,=P25-Office!$F$35,=1-(Q25/P25),Y,,=U24,=V24,,=U25*Office!$F$18,=X25/12000,=V25*Office!$F$27,=Z25/12000,=Y25-AA25,Y,,,,=AG26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Double,Large,Office,VAV,Electric,,2080,"=CONCATENATE(A26,B26,C26,D26,E26,F26,H26)",='Regresson List_Office'!H16+'Regresson List_Office'!I16*Office!$C$23+'Regresson List_Office'!J16*Office!$C$23^2,='Regresson List_Office'!K16+'Regresson List_Office'!L16*Office!$C$24+'Regresson List_Office'!M16*Office!$C$24^2,0,,Y,,='Regresson List_Office'!$H66+'Regresson List_Office'!$I66*Office!$C$23+'Regresson List_Office'!$J66*Office!$C$23^2,=P26-Office!$F$35,=1-(Q26/P26),Y,,=U25,='Regresson List_Office'!K48+'Regresson List_Office'!L48*Office!$C$24+'Regresson List_Office'!M48*Office!$C$24^2,,=U26*Office!$F$18,=X26/12000,=V26*Office!$F$27,=Z26/12000,=Y26-AA26,Y,,,,=AG27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Double,Large,Office,VAV,Electric,,2912,"=CONCATENATE(A27,B27,C27,D27,E27,F27,H27)",='Regresson List_Office'!H17+'Regresson List_Office'!I17*Office!$C$23+'Regresson List_Office'!J17*Office!$C$23^2,='Regresson List_Office'!K17+'Regresson List_Office'!L17*Office!$C$24+'Regresson List_Office'!M17*Office!$C$24^2,0,,Y,,='Regresson List_Office'!$H67+'Regresson List_Office'!$I67*Office!$C$23+'Regresson List_Office'!$J67*Office!$C$23^2,=P27-Office!$F$35,=1-(Q27/P27),Y,,=U26,=V26,,=U27*Office!$F$18,=X27/12000,=V27*Office!$F$27,=Z27/12000,=Y27-AA27,Y,,,,=AG28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Double,Large,Office,VAV,Electric,,8760,"=CONCATENATE(A28,B28,C28,D28,E28,F28,H28)",='Regresson List_Office'!H18+'Regresson List_Office'!I18*Office!$C$23+'Regresson List_Office'!J18*Office!$C$23^2,='Regresson List_Office'!K18+'Regresson List_Office'!L18*Office!$C$24+'Regresson List_Office'!M18*Office!$C$24^2,0,,Y,,='Regresson List_Office'!$H68+'Regresson List_Office'!$I68*Office!$C$23+'Regresson List_Office'!$J68*Office!$C$23^2,=P28-Office!$F$35,=1-(Q28/P28),Y,,=U27,=V27,,=U28*Office!$F$18,=X28/12000,=V28*Office!$F$27,=Z28/12000,=Y28-AA28,Y,,,,=AG29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double,Single,Large,Office,VAV,Electric,,2080,"=CONCATENATE(A29,B29,C29,D29,E29,F29,H29)",='Regresson List_Office'!H19+'Regresson List_Office'!I19*Office!$C$23+'Regresson List_Office'!J19*Office!$C$23^2,='Regresson List_Office'!K19+'Regresson List_Office'!L19*Office!$C$24+'Regresson List_Office'!M19*Office!$C$24^2,0,,Y,,='Regresson List_Office'!$H69+'Regresson List_Office'!$I69*Office!$C$23+'Regresson List_Office'!$J69*Office!$C$23^2,=P29-Office!$F$35,=1-(Q29/P29),Y,,='Regresson List_Office'!H49+'Regresson List_Office'!I49*Office!$C$24+'Regresson List_Office'!J49*Office!$C$24^2,='Regresson List_Office'!K49+'Regresson List_Office'!L49*Office!$C$24+'Regresson List_Office'!M49*Office!$C$24^2,,=U29*Office!$F$18,=X29/12000,=V29*Office!$F$27,=Z29/12000,=Y29-AA29,Y,,,,=AG30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double,Single,Large,Office,VAV,Electric,,2912,"=CONCATENATE(A30,B30,C30,D30,E30,F30,H30)",='Regresson List_Office'!H20+'Regresson List_Office'!I20*Office!$C$23+'Regresson List_Office'!J20*Office!$C$23^2,='Regresson List_Office'!K20+'Regresson List_Office'!L20*Office!$C$24+'Regresson List_Office'!M20*Office!$C$24^2,0,,Y,,='Regresson List_Office'!$H70+'Regresson List_Office'!$I70*Office!$C$23+'Regresson List_Office'!$J70*Office!$C$23^2,=P30-Office!$F$35,=1-(Q30/P30),Y,,=U29,=V29,,=U30*Office!$F$18,=X30/12000,=V30*Office!$F$27,=Z30/12000,=Y30-AA30,Y,,,,=AG31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double,Single,Large,Office,VAV,Electric,,8760,"=CONCATENATE(A31,B31,C31,D31,E31,F31,H31)",='Regresson List_Office'!H21+'Regresson List_Office'!I21*Office!$C$23+'Regresson List_Office'!J21*Office!$C$23^2,='Regresson List_Office'!K21+'Regresson List_Office'!L21*Office!$C$24+'Regresson List_Office'!M21*Office!$C$24^2,0,,Y,,='Regresson List_Office'!$H71+'Regresson List_Office'!$I71*Office!$C$23+'Regresson List_Office'!$J71*Office!$C$23^2,=P31-Office!$F$35,=1-(Q31/P31),Y,,=U30,=V30,,=U31*Office!$F$18,=X31/12000,=V31*Office!$F$27,=Z31/12000,=Y31-AA31,Y,,,,=AG32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Single,Large,Office,VAV,Natural Gas,,2080,"=CONCATENATE(A32,B32,C32,D32,E32,F32,H32)",0,='Regresson List_Office'!K31+'Regresson List_Office'!L31*Office!$C$24+'Regresson List_Office'!M31*Office!$C$24^2,='Regresson List_Office'!H31+'Regresson List_Office'!I31*Office!$C$23+'Regresson List_Office'!J31*Office!$C$23^2,,Y,,='Regresson List_Office'!$H72+'Regresson List_Office'!$I72*Office!$C$23+'Regresson List_Office'!$J72*Office!$C$23^2,=P32-Office!$F$35,=1-(Q32/P32),Y,,='Regresson List_Office'!H47+'Regresson List_Office'!I47*Office!$C$24+'Regresson List_Office'!J47*Office!$C$24^2,='Regresson List_Office'!K47+'Regresson List_Office'!L47*Office!$C$49+'Regresson List_Office'!M47*Office!$C$24^2,,=U32*Office!$F$18,=X32/12000,=V32*Office!$F$27,=Z32/12000,=Y32-AA32,Y,,,,=AG33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Single,Large,Office,VAV,Natural Gas,,2912,"=CONCATENATE(A33,B33,C33,D33,E33,F33,H33)",0,='Regresson List_Office'!K32+'Regresson List_Office'!L32*Office!$C$24+'Regresson List_Office'!M32*Office!$C$24^2,='Regresson List_Office'!H32+'Regresson List_Office'!I32*Office!$C$23+'Regresson List_Office'!J32*Office!$C$23^2,,Y,,='Regresson List_Office'!$H73+'Regresson List_Office'!$I73*Office!$C$23+'Regresson List_Office'!$J73*Office!$C$23^2,=P33-Office!$F$35,=1-(Q33/P33),Y,,=U32,=V32,,=U33*Office!$F$18,=X33/12000,=V33*Office!$F$27,=Z33/12000,=Y33-AA33,Y,,,,=AG34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Single,Large,Office,VAV,Natural Gas,,8760,"=CONCATENATE(A34,B34,C34,D34,E34,F34,H34)",0,='Regresson List_Office'!K33+'Regresson List_Office'!L33*Office!$C$24+'Regresson List_Office'!M33*Office!$C$24^2,='Regresson List_Office'!H33+'Regresson List_Office'!I33*Office!$C$23+'Regresson List_Office'!J33*Office!$C$23^2,,Y,,='Regresson List_Office'!$H74+'Regresson List_Office'!$I74*Office!$C$23+'Regresson List_Office'!$J74*Office!$C$23^2,=P34-Office!$F$35,=1-(Q34/P34),Y,,=U33,=V33,,=U34*Office!$F$18,=X34/12000,=V34*Office!$F$27,=Z34/12000,=Y34-AA34,Y,,,,=AG35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Double,Large,Office,VAV,Natural Gas,,2080,"=CONCATENATE(A35,B35,C35,D35,E35,F35,H35)",0,='Regresson List_Office'!K34+'Regresson List_Office'!L34*Office!$C$24+'Regresson List_Office'!M34*Office!$C$24^2,='Regresson List_Office'!H34+'Regresson List_Office'!I34*Office!$C$23+'Regresson List_Office'!J34*Office!$C$23^2,,Y,,='Regresson List_Office'!$H72+'Regresson List_Office'!$I72*Office!$C$23+'Regresson List_Office'!$J72*Office!$C$23^2,=P35-Office!$F$35,=1-(Q35/P35),Y,,=U34,='Regresson List_Office'!K48+'Regresson List_Office'!L48*Office!$C$24+'Regresson List_Office'!M48*Office!$C$24^2,,=U35*Office!$F$18,=X35/12000,=V35*Office!$F$27,=Z35/12000,=Y35-AA35,Y,,,,=AG36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Double,Large,Office,VAV,Natural Gas,,2912,"=CONCATENATE(A36,B36,C36,D36,E36,F36,H36)",0,='Regresson List_Office'!K35+'Regresson List_Office'!L35*Office!$C$24+'Regresson List_Office'!M35*Office!$C$24^2,='Regresson List_Office'!H35+'Regresson List_Office'!I35*Office!$C$23+'Regresson List_Office'!J35*Office!$C$23^2,,Y,,='Regresson List_Office'!$H73+'Regresson List_Office'!$I73*Office!$C$23+'Regresson List_Office'!$J73*Office!$C$23^2,=P36-Office!$F$35,=1-(Q36/P36),Y,,=U35,=V35,,=U36*Office!$F$18,=X36/12000,=V36*Office!$F$27,=Z36/12000,=Y36-AA36,Y,,,,=AG37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Double,Large,Office,VAV,Natural Gas,,8760,"=CONCATENATE(A37,B37,C37,D37,E37,F37,H37)",0,='Regresson List_Office'!K36+'Regresson List_Office'!L36*Office!$C$24+'Regresson List_Office'!M36*Office!$C$24^2,='Regresson List_Office'!H36+'Regresson List_Office'!I36*Office!$C$23+'Regresson List_Office'!J36*Office!$C$23^2,,Y,,='Regresson List_Office'!$H74+'Regresson List_Office'!$I74*Office!$C$23+'Regresson List_Office'!$J74*Office!$C$23^2,=P37-Office!$F$35,=1-(Q37/P37),Y,,=U36,=V36,,=U37*Office!$F$18,=X37/12000,=V37*Office!$F$27,=Z37/12000,=Y37-AA37,Y,,,,=AG38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double,Single,Large,Office,VAV,Natural Gas,,2080,"=CONCATENATE(A38,B38,C38,D38,E38,F38,H38)",0,='Regresson List_Office'!K37+'Regresson List_Office'!L37*Office!$C$24+'Regresson List_Office'!M37*Office!$C$24^2,='Regresson List_Office'!H37+'Regresson List_Office'!I37*Office!$C$23+'Regresson List_Office'!J37*Office!$C$23^2,,Y,,='Regresson List_Office'!$H75+'Regresson List_Office'!$I75*Office!$C$23+'Regresson List_Office'!$J75*Office!$C$23^2,=P38-Office!$F$35,=1-(Q38/P38),Y,,='Regresson List_Office'!H49+'Regresson List_Office'!I49*Office!$C$24+'Regresson List_Office'!J49*Office!$C$24^2,='Regresson List_Office'!K49+'Regresson List_Office'!L49*Office!$C$24+'Regresson List_Office'!M49*Office!$C$24^2,,=U38*Office!$F$18,=X38/12000,=V38*Office!$F$27,=Z38/12000,=Y38-AA38,Y,,,,=AG39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double,Single,Large,Office,VAV,Natural Gas,,2912,"=CONCATENATE(A39,B39,C39,D39,E39,F39,H39)",0,='Regresson List_Office'!K38+'Regresson List_Office'!L38*Office!$C$24+'Regresson List_Office'!M38*Office!$C$24^2,='Regresson List_Office'!H38+'Regresson List_Office'!I38*Office!$C$23+'Regresson List_Office'!J38*Office!$C$23^2,,Y,,='Regresson List_Office'!$H76+'Regresson List_Office'!$I76*Office!$C$23+'Regresson List_Office'!$J76*Office!$C$23^2,=P39-Office!$F$35,=1-(Q39/P39),Y,,=U38,=V38,,=U39*Office!$F$18,=X39/12000,=V39*Office!$F$27,=Z39/12000,=Y39-AA39,Y,,,,=AG40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double,Single,Large,Office,VAV,Natural Gas,,8760,"=CONCATENATE(A40,B40,C40,D40,E40,F40,H40)",0,='Regresson List_Office'!K39+'Regresson List_Office'!L39*Office!$C$24+'Regresson List_Office'!M39*Office!$C$24^2,='Regresson List_Office'!H39+'Regresson List_Office'!I39*Office!$C$23+'Regresson List_Office'!J39*Office!$C$23^2,,Y,,='Regresson List_Office'!$H77+'Regresson List_Office'!$I77*Office!$C$23+'Regresson List_Office'!$J77*Office!$C$23^2,=P40-Office!$F$35,=1-(Q40/P40),Y,,=U39,=V39,,=U40*Office!$F$18,=X40/12000,=V40*Office!$F$27,=Z40/12000,=Y40-AA40,Y,,,,='Regresson List_Office'!$H$81+'Regresson List_Office'!$I$81*Office!$C$24+'Regresson List_Office'!$J$81*Office!$C$24^2+'Regresson List_Office'!$K$81*Office!$C$24^3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Single,Small,Hotel,PTAC,Electric,,33,"=CONCATENATE(A41,B41,C41,D41,E41,F41,H41)",='Regresson List_SH'!H4+'Regresson List_SH'!I4*Hotel!$C$23+'Regresson List_SH'!J4*Hotel!$C$23^2,='Regresson List_SH'!K4+'Regresson List_SH'!L4*Hotel!$C$24+'Regresson List_SH'!M4*Hotel!$C$24^2,0,='Regresson List_SH'!D37+'Regresson List_SH'!E37*Hotel!$C$24+'Regresson List_SH'!F37*Hotel!$C$24^2+'Regresson List_SH'!G37*Hotel!C24^3,Y,,='Regresson List_SH'!$H$27+'Regresson List_SH'!$I$27*Hotel!$C$23+'Regresson List_SH'!$J$27*Hotel!$C$23^2,=P41-Hotel!$F$35,=1-(Q41/P41),Y,,='Regresson List_SH'!H20+'Regresson List_SH'!I20*Hotel!$C$24+'Regresson List_SH'!J20*Hotel!$C$24^2,='Regresson List_SH'!K20+'Regresson List_SH'!L20*Hotel!$C$24+'Regresson List_SH'!M20*Hotel!$C$24^2,,=U41*Hotel!$F$18,=X41/12000,=V41*Hotel!$F$27,=Z41/12000,=Y41-AA41,Y,,,,=#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Single,Small,Hotel,PTAC,Electric,,100,"=CONCATENATE(A42,B42,C42,D42,E42,F42,H42)",='Regresson List_SH'!H5+'Regresson List_SH'!I5*Hotel!$C$23+'Regresson List_SH'!J5*Hotel!$C$23^2,='Regresson List_SH'!K5+'Regresson List_SH'!L5*Hotel!$C$24+'Regresson List_SH'!M5*Hotel!$C$24^2,0,=M41,Y,,='Regresson List_SH'!$H$28+'Regresson List_SH'!$I$28*Hotel!$C$23+'Regresson List_SH'!$J$28*Hotel!$C$23^2,=P42-Hotel!$F$35,=1-(Q42/P42),Y,,=U41,=V41,,=U42*Hotel!$F$18,=X42/12000,=V42*Hotel!$F$27,=Z42/12000,=Y42-AA42,Y,,,,=AG43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Double,Small,Hotel,PTAC,Electric,,33,"=CONCATENATE(A43,B43,C43,D43,E43,F43,H43)",='Regresson List_SH'!H6+'Regresson List_SH'!I6*Hotel!$C$23+'Regresson List_SH'!J6*Hotel!$C$23^2,='Regresson List_SH'!K6+'Regresson List_SH'!L6*Hotel!$C$24+'Regresson List_SH'!M6*Hotel!$C$24^2,0,=M42,Y,,=P41,=P43-Hotel!$F$35,=1-(Q43/P43),Y,,='Regresson List_SH'!H21+'Regresson List_SH'!I21*Hotel!$C$24+'Regresson List_SH'!J21*Hotel!$C$24^2,='Regresson List_SH'!K21+'Regresson List_SH'!L21*Hotel!$C$24+'Regresson List_SH'!M21*Hotel!$C$24^2,,=U43*Hotel!$F$18,=X43/12000,=V43*Hotel!$F$27,=Z43/12000,=Y43-AA43,Y,,,,=#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Double,Small,Hotel,PTAC,Electric,,100,"=CONCATENATE(A44,B44,C44,D44,E44,F44,H44)",='Regresson List_SH'!H7+'Regresson List_SH'!I7*Hotel!$C$23+'Regresson List_SH'!J7*Hotel!$C$23^2,='Regresson List_SH'!K7+'Regresson List_SH'!L7*Hotel!$C$24+'Regresson List_SH'!M7*Hotel!$C$24^2,0,=M43,Y,,=P42,=P44-Hotel!$F$35,=1-(Q44/P44),Y,,=U43,=V43,,=U44*Hotel!$F$18,=X44/12000,=V44*Hotel!$F$27,=Z44/12000,=Y44-AA44,Y,,,,=AG45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double,Single,Small,Hotel,PTAC,Electric,,33,"=CONCATENATE(A45,B45,C45,D45,E45,F45,H45)",='Regresson List_SH'!H8+'Regresson List_SH'!I8*Hotel!$C$23+'Regresson List_SH'!J8*Hotel!$C$23^2,='Regresson List_SH'!K8+'Regresson List_SH'!L8*Hotel!$C$24+'Regresson List_SH'!M8*Hotel!$C$24^2,0,=M44,Y,,='Regresson List_SH'!H29+'Regresson List_SH'!I29*Hotel!$C$23+'Regresson List_SH'!J29*Hotel!$C$23^2,=P45-Hotel!$F$35,=1-(Q45/P45),Y,,='Regresson List_SH'!H22+'Regresson List_SH'!I22*Hotel!$C$24+'Regresson List_SH'!J22*Hotel!$C$24^2,='Regresson List_SH'!K22+'Regresson List_SH'!L22*Hotel!$C$24+'Regresson List_SH'!M22*Hotel!$C$24^2,,=U45*Hotel!$F$18,=X45/12000,=V45*Hotel!$F$27,=Z45/12000,=Y45-AA45,Y,,,,=#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double,Single,Small,Hotel,PTAC,Electric,,100,"=CONCATENATE(A46,B46,C46,D46,E46,F46,H46)",='Regresson List_SH'!H9+'Regresson List_SH'!I9*Hotel!$C$23+'Regresson List_SH'!J9*Hotel!$C$23^2,='Regresson List_SH'!K9+'Regresson List_SH'!L9*Hotel!$C$24+'Regresson List_SH'!M9*Hotel!$C$24^2,0,=M45,Y,,='Regresson List_SH'!H30+'Regresson List_SH'!I30*Hotel!$C$23+'Regresson List_SH'!J30*Hotel!$C$23^2,=P46-Hotel!$F$35,=1-(Q46/P46),Y,,=U45,=V45,,=U46*Hotel!$F$18,=X46/12000,=V46*Hotel!$F$27,=Z46/12000,=Y46-AA46,Y,,,,=AG47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Single,Small,Hotel,PTHP,Electric,Low,33,"=CONCATENATE(A47,B47,C47,D47,E47,F47,G47,H47)",='Regresson List_SH'!H10+'Regresson List_SH'!I10*Hotel!$C$23+'Regresson List_SH'!J10*Hotel!$C$23^2,='Regresson List_SH'!K10+'Regresson List_SH'!L10*Hotel!$C$24+'Regresson List_SH'!M10*Hotel!$C$24^2,0,=M46,Y,,='Regresson List_SH'!H31+'Regresson List_SH'!I31*Hotel!$C$23+'Regresson List_SH'!J31*Hotel!$C$23^2,=P47-Hotel!$F$35,=1-(Q47/P47),Y,,=U41,=V41,,=U47*Hotel!$F$18,=X47/12000,=V47*Hotel!$F$27,=Z47/12000,=Y47-AA47,Y,,,,=AG48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Single,Small,Hotel,PTHP,Electric,High,33,"=CONCATENATE(A48,B48,C48,D48,E48,F48,G48,H48)",='Regresson List_SH'!N10+'Regresson List_SH'!O10*Hotel!$C$23+'Regresson List_SH'!P10*Hotel!$C$23^2,=K47,0,=M47,Y,,=P47,=P48-Hotel!$F$35,=1-(Q48/P48),Y,,=U47,=V47,,=U48*Hotel!$F$18,=X48/12000,=V48*Hotel!$F$27,=Z48/12000,=Y48-AA48,Y,,,,=AG50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Single,Small,Hotel,PTHP,Electric,Low,100,"=CONCATENATE(A49,B49,C49,D49,E49,F49,G49,H49)",='Regresson List_SH'!H11+'Regresson List_SH'!I11*Hotel!$C$23+'Regresson List_SH'!J11*Hotel!$C$23^2,='Regresson List_SH'!K11+'Regresson List_SH'!L11*Hotel!$C$24+'Regresson List_SH'!M11*Hotel!$C$24^2,0,=M48,Y,,='Regresson List_SH'!H32+'Regresson List_SH'!I32*Hotel!$C$23+'Regresson List_SH'!J32*Hotel!$C$23^2,=P49-Hotel!$F$35,=1-(Q49/P49),Y,,=U43,=V48,,=U49*Hotel!$F$18,=X49/12000,=V49*Hotel!$F$27,=Z49/12000,=Y49-AA49,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Single,Small,Hotel,PTHP,Electric,High,100,"=CONCATENATE(A50,B50,C50,D50,E50,F50,G50,H50)",='Regresson List_SH'!N11+'Regresson List_SH'!O11*Hotel!$C$23+'Regresson List_SH'!P11*Hotel!$C$23^2,='Regresson List_SH'!K11+'Regresson List_SH'!L11*Hotel!$C$24+'Regresson List_SH'!M11*Hotel!$C$24^2,0,=M49,Y,,='Regresson List_SH'!$H32+'Regresson List_SH'!$I32*Hotel!$C$23+'Regresson List_SH'!$J32*Hotel!$C$23^2,=P50-Hotel!$F$35,=1-(Q50/P50),Y,,=U44,=V42,,=U50*Hotel!$F$18,=X50/12000,=V50*Hotel!$F$27,=Z50/12000,=Y50-AA50,Y,,,,=AG51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Double,Small,Hotel,PTHP,Electric,Low,33,"=CONCATENATE(A51,B51,C51,D51,E51,F51,G51,H51)",='Regresson List_SH'!H12+'Regresson List_SH'!I12*Hotel!$C$23+'Regresson List_SH'!J12*Hotel!$C$23^2,='Regresson List_SH'!K12+'Regresson List_SH'!L12*Hotel!$C$24+'Regresson List_SH'!M12*Hotel!$C$24^2,0,=M50,Y,,=P47,=P51-Hotel!$F$35,=1-(Q51/P51),Y,,=U43,=V43,,=U51*Hotel!$F$18,=X51/12000,=V51*Hotel!$F$27,=Z51/12000,=Y51-AA51,Y,,,,=AG52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Double,Small,Hotel,PTHP,Electric,High,33,"=CONCATENATE(A52,B52,C52,D52,E52,F52,G52,H52)",='Regresson List_SH'!N12+'Regresson List_SH'!O12*Hotel!$C$23+'Regresson List_SH'!P12*Hotel!$C$23^2,=K51,0,=M51,Y,,=P48,=P52-Hotel!$F$35,=1-(Q52/P52),Y,,=U43,=V51,,=U52*Hotel!$F$18,=X52/12000,=V52*Hotel!$F$27,=Z52/12000,=Y52-AA52,Y,,,,=AG54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Double,Small,Hotel,PTHP,Electric,Low,100,"=CONCATENATE(A53,B53,C53,D53,E53,F53,G53,H53)",='Regresson List_SH'!H13+'Regresson List_SH'!I13*Hotel!$C$23+'Regresson List_SH'!J13*Hotel!$C$23^2,='Regresson List_SH'!K13+'Regresson List_SH'!L13*Hotel!$C$24+'Regresson List_SH'!M13*Hotel!$C$24^2,0,=M52,Y,,=P49,=P53-Hotel!$F$35,=1-(Q53/P53),Y,,=U52,=V52,,=U53*Hotel!$F$18,=X53/12000,=V53*Hotel!$F$27,=Z53/12000,=Y53-AA53,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Double,Small,Hotel,PTHP,Electric,High,100,"=CONCATENATE(A54,B54,C54,D54,E54,F54,G54,H54)",='Regresson List_SH'!N13+'Regresson List_SH'!O13*Hotel!$C$23+'Regresson List_SH'!P13*Hotel!$C$23^2,='Regresson List_SH'!K13+'Regresson List_SH'!L13*Hotel!$C$24+'Regresson List_SH'!M13*Hotel!$C$24^2,0,=M53,Y,,=P53,=P54-Hotel!$F$35,=1-(Q54/P54),Y,,=U44,=V44,,=U54*Hotel!$F$18,=X54/12000,=V54*Hotel!$F$27,=Z54/12000,=Y54-AA54,Y,,,,=AG55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
