,,,,,,,,,"Electric Savings, kWh/SF",,"Gas Savings, therms/SF",,Regression_Done,,Base_EUI,CSW_EUI,Percent,Regression_Done,,Baseline Peak Cooling,Clg Load Reduced,Htg Load Reduced,Baseline Peak Cooling,Base Clg Load,CSW Ld Red,CSW Ld Red,CWS Clg Load,Regression_done,,Infil Savings Reduction Factors,,Cool Adjust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base,CSW_Type,Building_Size,Building_Type,HVAC_System_Type,Fuel_Type,PTHP,Hours,Look-up_Conc,Electric_savings_Heat_kWhperSF,electric_savings_Cooling_and_Aux_kWhperSF,Gas_savings_Heat_thermsperSF,,,,Base_EUI_kBtuperSFperyr,CSW_EUI_kBtuperSFperyr,Percent,Regression_Done,,baseline_peak_cooling_BtuhperSF,Clg_Load_reduced_BtuhperSF,htg_load_reduced_BtuhperSF,baseline_peak_cooling_Btuh,base_cooling_load_Tons,CSW_ld_red_Btuh,csw_ld_red_Tons,CWS_Clg_load_Tons,,,infiltration_savings_reduction_factors_Heat,infiltration_reduction_factors_Cool,Cool_adjust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double,Single,Mid,Office,PVAV_Elec,Electric,,2912,"=CONCATENATE(A12,B12,C12,D12,E12,F12,H12)",='Regresson List_Office'!H11+'Regresson List_Office'!I11*Office!$C$23+'Regresson List_Office'!J11*Office!$C$23^2,='Regresson List_Office'!K11+'Regresson List_Office'!L11*Office!$C$24+'Regresson List_Office'!M11*Office!$C$24^2,0,,Y,,='Regresson List_Office'!$H$58+'Regresson List_Office'!$I$58*Office!$C$23+'Regresson List_Office'!$J$58*Office!$C$23^2,=P12-Office!$F$35,=1-(Q12/P12),Y,,=U11,=V11,,=U12*Office!$F$18,=X12/12000,=V12*Office!$F$27,=Z12/12000,=Y12-AA12,Y,,,,=AG13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double,Single,Mid,Office,PVAV_Elec,Electric,,8760,"=CONCATENATE(A13,B13,C13,D13,E13,F13,H13)",='Regresson List_Office'!H12+'Regresson List_Office'!I12*Office!$C$23+'Regresson List_Office'!J12*Office!$C$23^2,='Regresson List_Office'!K12+'Regresson List_Office'!L12*Office!$C$24+'Regresson List_Office'!M12*Office!$C$24^2,0,,Y,,='Regresson List_Office'!$H$59+'Regresson List_Office'!$I$59*Office!$C$23+'Regresson List_Office'!$J$59*Office!$C$23^2,=P13-Office!$F$35,=1-(Q13/P13),Y,,=U12,=V12,,=U13*Office!$F$18,=X13/12000,=V13*Office!$F$27,=Z13/12000,=Y13-AA13,Y,,,,=AG14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Single,Mid,Office,PVAV_Gas,Natural Gas,,2080,"=CONCATENATE(A14,B14,C14,D14,E14,F14,H14)",0,='Regresson List_Office'!K22+'Regresson List_Office'!L22*Office!$C$24+'Regresson List_Office'!M22*Office!$C$24^2,='Regresson List_Office'!H22+'Regresson List_Office'!I22*Office!$C$23+'Regresson List_Office'!J22*Office!$C$23^2,,Y,,='Regresson List_Office'!$H$60+'Regresson List_Office'!$I$60*Office!$C$23+'Regresson List_Office'!$J$60*Office!$C$23^2,=P14-Office!$F$35,=1-(Q14/P14),Y,,='Regresson List_Office'!H44+'Regresson List_Office'!I44*Office!$C$24+'Regresson List_Office'!J44*Office!$C$24^2,='Regresson List_Office'!K44+'Regresson List_Office'!L44*Office!$C$24+'Regresson List_Office'!M44*Office!$C$24^2,,=U14*Office!$F$18,=X14/12000,=V14*Office!$F$27,=Z14/12000,=Y14-AA14,Y,,,,=AG15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Single,Mid,Office,PVAV_Gas,Natural Gas,,2912,"=CONCATENATE(A15,B15,C15,D15,E15,F15,H15)",0,='Regresson List_Office'!K23+'Regresson List_Office'!L23*Office!$C$24+'Regresson List_Office'!M23*Office!$C$24^2,='Regresson List_Office'!H23+'Regresson List_Office'!I23*Office!$C$23+'Regresson List_Office'!J23*Office!$C$23^2,,Y,,='Regresson List_Office'!$H$61+'Regresson List_Office'!$I$61*Office!$C$23+'Regresson List_Office'!$J$61*Office!$C$23^2,=P15-Office!$F$35,=1-(Q15/P15),Y,,=U14,=V14,,=U15*Office!$F$18,=X15/12000,=V15*Office!$F$27,=Z15/12000,=Y15-AA15,Y,,,,=AG16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Single,Mid,Office,PVAV_Gas,Natural Gas,,8760,"=CONCATENATE(A16,B16,C16,D16,E16,F16,H16)",0,='Regresson List_Office'!K24+'Regresson List_Office'!L24*Office!$C$24+'Regresson List_Office'!M24*Office!$C$24^2,='Regresson List_Office'!H24+'Regresson List_Office'!I24*Office!$C$23+'Regresson List_Office'!J24*Office!$C$23^2,,Y,,='Regresson List_Office'!$H$62+'Regresson List_Office'!$I$62*Office!$C$23+'Regresson List_Office'!$J$62*Office!$C$23^2,=P16-Office!$F$35,=1-(Q16/P16),Y,,=U15,=V15,,=U16*Office!$F$18,=X16/12000,=V16*Office!$F$27,=Z16/12000,=Y16-AA16,Y,,,,=AG17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Double,Mid,Office,PVAV_Gas,Natural Gas,,2080,"=CONCATENATE(A17,B17,C17,D17,E17,F17,H17)",0,='Regresson List_Office'!K25+'Regresson List_Office'!L25*Office!$C$24+'Regresson List_Office'!M25*Office!$C$24^2,='Regresson List_Office'!H25+'Regresson List_Office'!I25*Office!$C$23+'Regresson List_Office'!J25*Office!$C$23^2,,Y,,='Regresson List_Office'!$H$60+'Regresson List_Office'!$I$60*Office!$C$23+'Regresson List_Office'!$J$60*Office!$C$23^2,=P17-Office!$F$35,=1-(Q17/P17),Y,,=U16,='Regresson List_Office'!K45+'Regresson List_Office'!L45*Office!$C$24+'Regresson List_Office'!M45*Office!$C$24^2,,=U17*Office!$F$18,=X17/12000,=V17*Office!$F$27,=Z17/12000,=Y17-AA17,Y,,,,=AG18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Double,Mid,Office,PVAV_Gas,Natural Gas,,2912,"=CONCATENATE(A18,B18,C18,D18,E18,F18,H18)",0,='Regresson List_Office'!K26+'Regresson List_Office'!L26*Office!$C$24+'Regresson List_Office'!M26*Office!$C$24^2,='Regresson List_Office'!H26+'Regresson List_Office'!I26*Office!$C$23+'Regresson List_Office'!J26*Office!$C$23^2,,Y,,='Regresson List_Office'!$H$61+'Regresson List_Office'!$I$61*Office!$C$23+'Regresson List_Office'!$J$61*Office!$C$23^2,=P18-Office!$F$35,=1-(Q18/P18),Y,,=U17,=V17,,=U18*Office!$F$18,=X18/12000,=V18*Office!$F$27,=Z18/12000,=Y18-AA18,Y,,,,=AG19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Double,Mid,Office,PVAV_Gas,Natural Gas,,8760,"=CONCATENATE(A19,B19,C19,D19,E19,F19,H19)",0,='Regresson List_Office'!K27+'Regresson List_Office'!L27*Office!$C$24+'Regresson List_Office'!M27*Office!$C$24^2,='Regresson List_Office'!H27+'Regresson List_Office'!I27*Office!$C$23+'Regresson List_Office'!J27*Office!$C$23^2,,Y,,='Regresson List_Office'!$H$62+'Regresson List_Office'!$I$62*Office!$C$23+'Regresson List_Office'!$J$62*Office!$C$23^2,=P19-Office!$F$35,=1-(Q19/P19),Y,,=U18,=V18,,=U19*Office!$F$18,=X19/12000,=V19*Office!$F$27,=Z19/12000,=Y19-AA19,Y,,,,=AG20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double,Single,Mid,Office,PVAV_Gas,Natural Gas,,2080,"=CONCATENATE(A20,B20,C20,D20,E20,F20,H20)",0,='Regresson List_Office'!K28+'Regresson List_Office'!L28*Office!$C$24+'Regresson List_Office'!M28*Office!$C$24^2,='Regresson List_Office'!H28+'Regresson List_Office'!I28*Office!$C$23+'Regresson List_Office'!J28*Office!$C$23^2,,Y,,='Regresson List_Office'!$H$63+'Regresson List_Office'!$I$63*Office!$C$23+'Regresson List_Office'!$J$63*Office!$C$23^2,=P20-Office!$F$35,=1-(Q20/P20),Y,,='Regresson List_Office'!H46+'Regresson List_Office'!I46*Office!$C$24+'Regresson List_Office'!J46*Office!$C$24^2,='Regresson List_Office'!K46+'Regresson List_Office'!L46*Office!$C$24+'Regresson List_Office'!M46*Office!$C$24^2,,=U20*Office!$F$18,=X20/12000,=V20*Office!$F$27,=Z20/12000,=Y20-AA20,Y,,,,=AG21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double,Single,Mid,Office,PVAV_Gas,Natural Gas,,2912,"=CONCATENATE(A21,B21,C21,D21,E21,F21,H21)",0,='Regresson List_Office'!K29+'Regresson List_Office'!L29*Office!$C$24+'Regresson List_Office'!M29*Office!$C$24^2,='Regresson List_Office'!H29+'Regresson List_Office'!I29*Office!$C$23+'Regresson List_Office'!J29*Office!$C$23^2,,Y,,='Regresson List_Office'!$H$64+'Regresson List_Office'!$I$64*Office!$C$23+'Regresson List_Office'!$J$64*Office!$C$23^2,=P21-Office!$F$35,=1-(Q21/P21),Y,,=U20,=V20,,=U21*Office!$F$18,=X21/12000,=V21*Office!$F$27,=Z21/12000,=Y21-AA21,Y,,,,=AG22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double,Single,Mid,Office,PVAV_Gas,Natural Gas,,8760,"=CONCATENATE(A22,B22,C22,D22,E22,F22,H22)",0,='Regresson List_Office'!K30+'Regresson List_Office'!L30*Office!$C$24+'Regresson List_Office'!M30*Office!$C$24^2,='Regresson List_Office'!H30+'Regresson List_Office'!I30*Office!$C$23+'Regresson List_Office'!J30*Office!$C$23^2,,Y,,='Regresson List_Office'!$H$65+'Regresson List_Office'!$I$65*Office!$C$23+'Regresson List_Office'!$J$65*Office!$C$23^2,=P22-Office!$F$35,=1-(Q22/P22),Y,,=U21,=V21,,=U22*Office!$F$18,=X22/12000,=V22*Office!$F$27,=Z22/12000,=Y22-AA22,Y,,,,='Regresson List_Office'!H80+'Regresson List_Office'!I80*Office!$C$24+'Regresson List_Office'!J80*Office!$C$24^2+'Regresson List_Office'!K80*Office!$C$24^3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
